ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,diff_2022,change_type,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022,Latitude,Longitude
10141,ABR,SD,Aberdeen Regional,Aberdeen,10k-100k,yes,N,loss,-5.4,less than -10%,740,690,754,700,-54,less,735,99.3,699,99.9,45.45324,-98.41844
11468,EAR,NE,Kearney Regional,Kearney,10k-100k,yes,N,gain,5,less than 10%,655,708,941,688,-253,less,654,99.8,687,99.9,40.6819259,-99.1127073
14109,PIB,MS,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,10k-100k,yes,N,loss,-4.9,less than -10%,694,586,606,660,54,more,664,95.7,659,99.8,31.468239,-89.335421
10918,CDC,UT,Cedar City Regional,Cedar City,10k-100k,yes,N,loss,-18.4,at least -10%,766,414,627,625,-2,less,748,97.7,624,99.8,37.6774769,-113.0618931
14812,SHR,WY,Sheridan County,Sheridan,10k-100k,no,N,loss,-13,at least -10%,715,477,712,622,-90,less,0,0.0,621,99.8,44.787904,-106.925973
12343,INL,MN,Falls International Einarson Field,International Falls,10k-100k,yes,,loss,-13.2,at least -10%,646,582,622,561,-61,less,645,99.8,560,99.8,48.56654,-93.39765
10146,ABY,GA,Southwest Georgia Regional,Albany,10k-100k,no,N,loss,-5.1,less than -10%,1013,748,1051,961,-90,less,1012,99.9,959,99.8,31.3254159,-84.4382721
11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,N,loss,-47.8,at least -30%,3443,2062,2804,1798,-1006,less,3413,99.1,1794,99.8,44.523165,-89.5831373
12007,GTR,MS,Golden Triangle Regional,Columbus,10k-100k,no,N,loss,-14.3,at least -10%,1188,891,995,1018,23,more,1188,100.0,1015,99.7,33.4515977,-88.5875147
12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte,10k-100k,yes,N,gain,7,less than 10%,602,695,626,644,18,more,601,99.8,642,99.7,41.1326828,-100.6979522
12129,HIB,MN,Range Regional,Hibbing,10k-100k,yes,N,gain,2.1,less than 10%,627,586,632,640,8,more,627,100.0,638,99.7,47.39257,-92.84258
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,10k-100k,yes,N,loss,-6.7,less than -10%,685,676,711,639,-72,less,682,99.6,637,99.7,47.0499507,-88.6148185
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,N,loss,-12.1,at least -10%,1084,696,1038,953,-85,less,1065,98.2,950,99.7,44.5170669,-109.0227432
11865,GCC,WY,Northeast Wyoming Regional,Gillette,10k-100k,no,N,loss,-18.3,at least -10%,756,558,739,618,-121,less,753,99.6,616,99.7,43.0759678,-107.2902839
12888,LAR,WY,Laramie Regional,Laramie,10k-100k,yes,N,loss,-2,less than -10%,598,566,616,586,-30,less,596,99.7,584,99.7,41.3113669,-105.5911007
10654,BKW,WV,Raleigh County Memorial,Beckley,10k-100k,yes,,gain,7.2,less than 10%,1096,1142,1339,1175,-164,less,1095,99.9,1170,99.6,37.7381597,-81.2518833
14520,RHI,WI,Rhinelander/Oneida County,Rhinelander,10k-100k,yes,N,loss,-10.7,at least -10%,796,686,925,711,-214,less,786,98.7,706,99.3,45.6366228,-89.4120753
15048,SUX,IA,Sioux Gateway Brig Gen Bud Day Field,Sioux City,10k-100k,no,N,loss,-47.1,at least -30%,1293,718,871,684,-187,less,1287,99.5,679,99.3,42.4008903,-96.3787307
14113,PIH,ID,Pocatello Regional,Pocatello,10k-100k,no,N,loss,-66.7,at least -30%,1101,855,945,367,-578,less,1083,98.4,364,99.2,42.8621042,-112.4506191
13203,MCN,GA,Middle Georgia Regional,Macon,10k-100k,yes,N,loss,-19,at least -10%,743,626,654,602,-52,less,650,87.5,593,98.5,32.1574351,-82.907123
14150,PLN,MI,Pellston Regional Airport of Emmet County,Pellston,10k-100k,yes,N,loss,-30.8,at least -30%,1060,907,898,733,-165,less,1057,99.7,720,98.2,45.5714903,-84.7861834
14288,PUB,CO,Pueblo Memorial,Pueblo,10k-100k,yes,,loss,-44.2,at least -30%,924,719,656,516,-140,less,907,98.2,505,97.9,38.2544472,-104.6091409
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,,gain,15.2,at least 10%,566,148,205,652,447,more,484,85.5,637,97.7,41.1529786,-104.8106149
13459,MQT,MI,Sawyer International,Marquette,10k-100k,no,N,loss,-23,at least -20%,1378,1073,1456,1061,-395,less,1016,73.7,1031,97.2,46.3497439,-87.3873273
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,10k-100k,yes,N,loss,-29.2,at least -20%,698,684,712,494,-218,less,697,99.9,478,96.8,44.8609,-91.48157
10409,ATY,SD,Watertown Regional,Watertown,10k-100k,yes,N,gain,24.1,at least 20%,502,588,916,623,-293,less,502,100.0,596,95.7,44.92257,-97.15795
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,100k-1 million,no,N,loss,-55.1,at least -30%,3697,2087,2134,1661,-473,less,2866,77.5,1588,95.6,42.2314382,-85.5512496
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,100k-1 million,no,N,loss,-46.9,at least -30%,2810,1501,1724,1491,-233,less,2785,99.1,1423,95.4,40.0364962,-88.2639879
14092,PGV,NC,Pitt Greenville,Greenville,10k-100k,no,N,loss,-47,at least -30%,1484,683,907,786,-121,less,1484,100.0,744,94.7,35.612661,-77.3663538
11308,DHN,AL,Dothan Regional,Dothan,10k-100k,no,N,loss,-32.5,at least -30%,1382,879,1062,933,-129,less,1382,100.0,883,94.6,31.2232313,-85.3904888
15389,TWF,ID,Joslin Field - Magic Valley Regional,Twin Falls,10k-100k,no,N,loss,-66,at least -30%,1280,953,1179,435,-744,less,1008,78.8,405,93.1,42.48348,-114.48472
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,10k-100k,no,N,loss,-60.5,at least -30%,951,425,364,376,12,more,939,98.7,350,93.1,42.2081084,-75.9820633
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,2312,1695,2394,1924,-470,less,2250,97.3,1766,91.8,32.4118941,-99.6800464
13184,MBS,MI,MBS International,Saginaw/Bay City/Midland,100k-1 million,no,N,loss,-44.8,at least -30%,2935,1747,1770,1621,-149,less,2022,68.9,1487,91.7,43.5386272,-84.0821024
11867,GCK,KS,Garden City Regional,Garden City,10k-100k,yes,N,gain,1,less than 10%,701,624,708,708,0,unchg,699,99.7,649,91.7,37.93021,-100.71167
14120,PIR,SD,Pierre Regional,Pierre,10k-100k,yes,N,loss,-2.2,less than -10%,631,584,910,617,-293,less,630,99.8,565,91.6,44.38325,-100.29729
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,10k-100k,yes,N,gain,18.1,at least 10%,668,674,672,789,117,more,618,92.5,720,91.3,41.8696365,-103.5926208
11905,GGG,TX,East Texas Regional,Longview,10k-100k,no,N,loss,-18,at least -10%,941,649,898,772,-126,less,921,97.9,703,91.1,31.9685988,-99.9018131
13029,LNK,NE,Lincoln Airport,Lincoln,100k-1 million,no,N,loss,-41.9,at least -30%,3678,1786,2303,2138,-165,less,3182,86.5,1937,90.6,40.8485424,-96.7603024
13127,LWS,ID,Lewiston Nez Perce County,Lewiston,10k-100k,no,N,gain,3.4,less than 10%,993,694,1008,1027,19,more,982,98.9,928,90.4,46.4004089,-117.0011889
13076,LSE,WI,La Crosse Regional,La Crosse,10k-100k,no,N,loss,-35,at least -30%,2151,1485,2100,1398,-702,less,1587,73.8,1257,89.9,43.8137751,-91.2519017
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,100k-1 million,no,N,loss,-45.4,at least -30%,2539,1470,1546,1386,-160,less,2533,99.8,1239,89.4,42.0851397,-80.17134
13139,LYH,VA,Lynchburg Regional/Preston Glenn Field,Lynchburg,10k-100k,no,N,loss,-18.3,at least -10%,2146,1289,1728,1753,25,more,1269,59.1,1543,88.0,37.3254785,-79.2014774
16869,XWA,ND,Williston Basin International,Williston,10k-100k,no,N,loss,-28,at least -20%,2057,854,1132,1481,349,more,1952,94.9,1277,86.2,48.25828,-103.72141
10631,BJI,MN,Bemidji Regional,Bemidji,10k-100k,yes,N,loss,-11.9,at least -10%,964,915,971,849,-122,less,739,76.7,730,86.0,47.471573,-94.8826861
10155,ACT,TX,Waco Regional,Waco,10k-100k,no,N,loss,-5,less than -10%,1777,1074,1602,1689,87,more,1673,94.1,1452,86.0,31.6092433,-97.2232208
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,10k-100k,no,N,loss,-18.6,at least -10%,961,646,939,782,-157,less,961,100.0,671,85.8,29.955004,-94.01843
11699,FLO,SC,Florence Regional,Florence,10k-100k,no,N,loss,-36.1,at least -30%,1223,609,726,781,55,more,1207,98.7,668,85.5,34.19336,-79.72826
15074,SWO,OK,Stillwater Regional,Stillwater,10k-100k,no,N,loss,-16.7,at least -10%,846,540,540,705,165,more,841,99.4,593,84.1,36.1578398,-97.0838743
15401,TXK,AR,Texarkana Regional-Webb Field,Texarkana,10k-100k,no,N,gain,3,less than 10%,1208,759,1048,1244,196,more,1203,99.6,1043,83.8,33.425125,-94.0476882
15411,TYR,TX,Tyler Pounds Regional,Tyler,10k-100k,no,N,loss,-20.9,at least -20%,1519,1004,1335,1201,-134,less,1448,95.3,982,81.8,32.3511258,-95.4096293
11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,N,loss,-23.6,at least -20%,2311,1601,2002,1766,-236,less,1806,78.1,1443,81.7,42.848709,-106.2980824
14960,SPS,TX,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,10k-100k,no,N,loss,-11.5,at least -10%,1223,740,1240,1082,-158,less,1207,98.7,884,81.7,33.9685715,-98.510735
12884,LAN,MI,Capital Region International,Lansing,100k-1 million,no,N,loss,-50.9,at least -30%,3932,2085,2475,1931,-544,less,3459,88.0,1573,81.5,42.77529,-84.59021
