ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION
12898,LBE,PA,Arnold Palmer Regional,Latrobe
12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte
12902,LBL,KS,Liberal Mid-America Regional,Liberal
12915,LCH,LA,Lake Charles Regional,Lake Charles
12917,LCK,OH,Rickenbacker International,Columbus
12932,LEB,NH,Lebanon Municipal,Lebanon-Hanover
12945,LEX,KY,Blue Grass,Lexington
12951,LFT,LA,Lafayette Regional Paul Fournet Field,Lafayette
12953,LGA,NY,LaGuardia,New York
12954,LGB,CA,Long Beach Airport,Long Beach
12992,LIT,AR,Bill and Hillary Clinton Nat Adams Field,Little Rock
13002,LKE,WA,Lake Union Terminal,Seattle
13029,LNK,NE,Lincoln Airport,Lincoln
13061,LRD,TX,Laredo International,Laredo
13076,LSE,WI,La Crosse Regional,La Crosse
13121,LWB,WV,Greenbrier Valley,Lewisburg
13127,LWS,ID,Lewiston Nez Perce County,Lewiston
13139,LYH,VA,Lynchburg Regional/Preston Glenn Field,Lynchburg
13158,MAF,TX,Midland International Air and Space Port,Midland/Odessa
13184,MBS,MI,MBS International,Saginaw/Bay City/Midland
13198,MCI,MO,Kansas City International,Kansas City
13203,MCN,GA,Middle Georgia Regional,Macon
13204,MCO,FL,Orlando International,Orlando
13230,MDT,PA,Harrisburg International,Harrisburg
13232,MDW,IL,Chicago Midway International,Chicago
13241,MEI,MS,Key Field,Meridian
13244,MEM,TN,Memphis International,Memphis
13256,MFE,TX,McAllen Miller International,Mission/McAllen/Edinburg
13264,MFR,OR,Rogue Valley International - Medford,Medford
13277,MGM,AL,Montgomery Regional,Montgomery
13290,MHK,KS,Manhattan Regional,Manhattan/Ft. Riley
13296,MHT,NH,Manchester Boston Regional,Manchester
13303,MIA,FL,Miami International,Miami
13342,MKE,WI,General Mitchell International,Milwaukee
13344,MKG,MI,Muskegon County,Muskegon
13360,MLB,FL,Melbourne Orlando International,Melbourne
13367,MLI,IL,Quad Cities International,Moline
13377,MLU,LA,Monroe Regional,Monroe
13388,MMH,CA,Mammoth Lakes Airport,Mammoth Lakes
13422,MOB,AL,Mobile Regional,Mobile
13433,MOT,ND,Minot International,Minot
13459,MQT,MI,Sawyer International,Marquette
13476,MRY,CA,Monterey Regional,Monterey
13485,MSN,WI,Dane County Regional-Truax Field,Madison
13486,MSO,MT,Missoula Montana,Missoula
13487,MSP,MN,Minneapolis-St Paul International,Minneapolis
13495,MSY,LA,Louis Armstrong New Orleans International,New Orleans
13502,MTJ,CO,Montrose Regional,Montrose/Delta
13541,MVY,MA,Martha's Vineyard Airport,Martha's Vineyard
13543,MWA,IL,Veterans Airport of Southern Illinois,Marion/Herrin
13577,MYR,SC,Myrtle Beach International,Myrtle Beach
16218,YUM,AZ,Yuma MCAS/Yuma International,Yuma
13795,OAJ,NC,Albert J Ellis,Jacksonville/Camp Lejeune
13796,OAK,CA,Metro Oakland International,Oakland
13829,OGD,UT,Ogden-Hinckley,Ogden
13832,OGS,NY,Ogdensburg International,Ogdensburg
13851,OKC,OK,Will Rogers World,Oklahoma City
13871,OMA,NE,Eppley Airfield,Omaha
13891,ONT,CA,Ontario International,Ontario
13930,ORD,IL,Chicago O'Hare International,Chicago
13931,ORF,VA,Norfolk International,Norfolk
13933,ORH,MA,Worcester Regional,Worcester
13964,OTH,OR,Southwest Oregon Regional,North Bend/Coos Bay
13983,OWB,KY,Owensboro Daviess County Regional,Owensboro
14004,PAE,WA,Snohomish County,Everett
14006,PAH,KY,Barkley Regional,Paducah
14025,PBG,NY,Plattsburgh International,Plattsburgh
14027,PBI,FL,Palm Beach International,West Palm Beach/Palm Beach
14057,PDX,OR,Portland International,Portland
14081,PGA,AZ,Page Municipal,Page
14082,PGD,FL,Punta Gorda Airport,Punta Gorda
14092,PGV,NC,Pitt Greenville,Greenville
14098,PHF,VA,Newport News/Williamsburg International,Newport News/Williamsburg
14100,PHL,PA,Philadelphia International,Philadelphia
14107,PHX,AZ,Phoenix Sky Harbor International,Phoenix
14108,PIA,IL,General Downing - Peoria International,Peoria
14109,PIB,MS,Hattiesburg-Laurel Regional,Hattiesburg/Laurel
14112,PIE,FL,St Pete Clearwater International,St. Petersburg
14113,PIH,ID,Pocatello Regional,Pocatello
14120,PIR,SD,Pierre Regional,Pierre
14122,PIT,PA,Pittsburgh International,Pittsburgh
14150,PLN,MI,Pellston Regional Airport of Emmet County,Pellston
14193,PNS,FL,Pensacola International,Pensacola
14231,PQI,ME,Presque Isle International,Presque Isle/Houlton
14237,PRC,AZ,Prescott Regional Ernest A Love Field,Prescott
14252,PSC,WA,Tri Cities,Pasco/Kennewick/Richland
14259,PSM,NH,Portsmouth International at Pease,Portsmouth
14262,PSP,CA,Palm Springs International,Palm Springs
14288,PUB,CO,Pueblo Memorial,Pueblo
14303,PUW,WA,Pullman Moscow Regional,Pullman
14306,PVC,MA,Provincetown Municipal,Provincetown
14307,PVD,RI,Rhode Island Tf Green International,Providence
14314,PVU,UT,Provo Municipal,Provo
14321,PWM,ME,Portland International Jetport,Portland
14457,RAP,SD,Rapid City Regional,Rapid City
14487,RDD,CA,Redding Municipal,Redding
14489,RDM,OR,Roberts Field,Bend/Redmond
14492,RDU,NC,Raleigh-Durham International,Raleigh/Durham
14512,RFD,IL,Chicago/Rockford International,Rockford
14520,RHI,WI,Rhinelander/Oneida County,Rhinelander
14524,RIC,VA,Richmond International,Richmond
14534,RIW,WY,Central Wyoming Regional,Riverton/Lander
14543,RKS,WY,Southwest Wyoming Regional,Rock Springs
14570,RNO,NV,Reno/Tahoe International,Reno
14574,ROA,VA,Roanoke Blacksburg Regional,Roanoke
14576,ROC,NY,Frederick Douglass Grtr Rochester International,Rochester
14588,ROW,NM,Roswell Air Center,Roswell
14633,RST,MN,Rochester International,Rochester
14635,RSW,FL,Southwest Florida International,Fort Myers
14674,SAF,NM,Santa Fe Municipal,Santa Fe
14679,SAN,CA,San Diego International,San Diego
14683,SAT,TX,San Antonio International,San Antonio
14685,SAV,GA,Savannah/Hilton Head International,Savannah
14689,SBA,CA,Santa Barbara Municipal,Santa Barbara
14696,SBN,IN,South Bend International,South Bend
14698,SBP,CA,San Luis County Regional,San Luis Obispo
14704,SBY,MD,Salisbury-Ocean City/Wicomico Regional,Salisbury
14711,SCE,PA,University Park,State College
14716,SCK,CA,Stockton Metro,Stockton
14730,SDF,KY,Louisville Muhammad Ali International,Louisville
14747,SEA,WA,Seattle/Tacoma International,Seattle
14761,SFB,FL,Orlando Sanford International,Sanford
14771,SFO,CA,San Francisco International,San Francisco
14783,SGF,MO,Springfield-Branson National,Springfield
14794,SGU,UT,St George Regional,St. George
14802,SHD,VA,Shenandoah Valley Regional,Staunton
14812,SHR,WY,Sheridan County,Sheridan
14814,SHV,LA,Shreveport Regional,Shreveport
14831,SJC,CA,Norman Y. Mineta San Jose International,San Jose
14842,SJT,TX,San Angelo Regional/Mathis Field,San Angelo
14869,SLC,UT,Salt Lake City International,Salt Lake City
14877,SLN,KS,Salina Regional,Salina
14893,SMF,CA,Sacramento International,Sacramento
14905,SMX,CA,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria
14908,SNA,CA,John Wayne Airport-Orange County,Santa Ana
14952,SPI,IL,Abraham Lincoln Capital,Springfield
14960,SPS,TX,Sheppard AFB/Wichita Falls Municipal,Wichita Falls
14986,SRQ,FL,Sarasota/Bradenton International,Sarasota/Bradenton
15008,STC,MN,St. Cloud Regional,St. Cloud
15016,STL,MO,St Louis Lambert International,St. Louis
15023,STS,CA,Charles M. Schulz - Sonoma County,Santa Rosa
15041,SUN,ID,Friedman Memorial,Sun Valley/Hailey/Ketchum
15048,SUX,IA,Sioux Gateway Brig Gen Bud Day Field,Sioux City
15070,SWF,NY,New York Stewart International,Newburgh/Poughkeepsie
15074,SWO,OK,Stillwater Regional,Stillwater
15096,SYR,NY,Syracuse Hancock International,Syracuse
15177,TEX,CO,Telluride Regional,Telluride
15249,TLH,FL,Tallahassee International,Tallahassee
15295,TOL,OH,Eugene F Kranz Toledo Express,Toledo
15304,TPA,FL,Tampa International,Tampa
15323,TRI,TN,Tri Cities,Bristol/Johnson City/Kingsport
15356,TTN,NJ,Trenton Mercer,Trenton
15370,TUL,OK,Tulsa International,Tulsa
15374,TUP,MS,Tupelo Regional,Tupelo
15376,TUS,AZ,Tucson International,Tucson
15380,TVC,MI,Cherry Capital,Traverse City
15389,TWF,ID,Joslin Field - Magic Valley Regional,Twin Falls
15401,TXK,AR,Texarkana Regional-Webb Field,Texarkana
15411,TYR,TX,Tyler Pounds Regional,Tyler
15412,TYS,TN,McGhee Tyson,Knoxville
15454,UIN,IL,Quincy Regional-Baldwin Field,Quincy
15582,VEL,UT,Vernal Regional,Vernal
15607,VLD,GA,Valdosta Regional,Valdosta
15624,VPS,FL,Eglin AFB Destin Fort Walton Beach,Valparaiso
15855,WST,RI,Westerly State,Westerly
15919,XNA,AR,Northwest Arkansas National,Fayetteville
16101,YKM,WA,Yakima Air Terminal/McAllister Field,Yakima
16869,XWA,ND,Williston Basin International,Williston
