ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
11292,CO,DEN,"Denver, CO: Denver International",20409,JetBlue Airways,1169,696,1240,1766
11292,CO,DEN,"Denver, CO: Denver International",20416,Spirit Air Lines,4386,2347,2329,1837
11292,CO,DEN,"Denver, CO: Denver International",20436,Frontier Airlines Inc.,25372,17796,20460,20565
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",21618,"Southern Airways Express, dba Mokulele Airlines",2198,2117,2102,2223
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",21599,Boutique Air,2298,1727,803,308
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",19790,Delta Air Lines Inc.,10243,6690,9348,10459
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",19977,United Air Lines Inc.,5989,2508,3332,6887
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",19930,Alaska Airlines Inc.,1481,1120,1603,1705
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",19805,American Airlines Inc.,150251,99532,127812,138546
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20422,Sun Country Airlines d/b/a MN Airlines,402,228,302,279
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20304,SkyWest Airlines Inc.,17773,16402,23368,30350
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20366,ExpressJet Airlines LLC d/b/a aha!,116,20,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20500,GoJet Airlines LLC d/b/a United Express,191,0,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20378,Mesa Airlines Inc.,39844,23225,25675,18245
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20363,Endeavor Air Inc.,1882,367,79,4
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20397,PSA Airlines Inc.,277,2557,1645,375
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20398,Envoy Air,57526,54752,68309,49967
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20452,Republic Airline,1280,839,1131,123
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",21167,Compass Airlines,275,0,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20409,JetBlue Airways,629,361,705,720
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20416,Spirit Air Lines,8691,5062,6346,7977
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",20436,Frontier Airlines Inc.,1040,872,2418,3778
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19790,Delta Air Lines Inc.,36544,20220,27263,31478
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",21242,"Mokulele Flight Services, Inc.",1019,246,0,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",21599,Boutique Air,982,1010,688,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19687,Horizon Air,1431,2009,4754,770
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19393,Southwest Airlines Co.,39974,21371,19658,26194
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20422,Sun Country Airlines d/b/a MN Airlines,919,393,644,614
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19930,Alaska Airlines Inc.,20010,7143,8679,9162
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19977,United Air Lines Inc.,27529,12041,17657,24771
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19805,American Airlines Inc.,41343,20182,27454,29789
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20304,SkyWest Airlines Inc.,32281,23483,45300,42238
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20378,Mesa Airlines Inc.,7,0,0,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",21167,Compass Airlines,27369,5707,0,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20368,Allegiant Air,1561,1058,1521,1346
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20409,JetBlue Airways,6945,4658,9218,10647
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20416,Spirit Air Lines,8258,5911,8404,10173
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",20436,Frontier Airlines Inc.,983,1165,759,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",19690,Hawaiian Airlines Inc.,2178,1060,1947,2271
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19790,Delta Air Lines Inc.,13868,8367,12264,13781
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",21894,"ADVANCED AIR, LLC",2,0,0,513
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19393,Southwest Airlines Co.,69654,46878,55269,71887
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19930,Alaska Airlines Inc.,7896,3143,3794,5214
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19977,United Air Lines Inc.,13753,6060,9039,11982
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20422,Sun Country Airlines d/b/a MN Airlines,1806,836,1075,1112
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19805,American Airlines Inc.,14121,8680,12358,13184
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19690,Hawaiian Airlines Inc.,977,351,985,1325
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20304,SkyWest Airlines Inc.,2012,3383,3414,1979
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20500,GoJet Airlines LLC d/b/a United Express,4,0,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20378,Mesa Airlines Inc.,3,2,0,1
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",19687,Horizon Air,728,897,1146,629
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",21167,Compass Airlines,3730,682,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,722,173,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20368,Allegiant Air,8986,6016,8772,8836
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20409,JetBlue Airways,4061,2113,3103,3226
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20416,Spirit Air Lines,17672,11105,16106,23702
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",20436,Frontier Airlines Inc.,9238,7481,13323,16263
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20500,GoJet Airlines LLC d/b/a United Express,216,155,868,216
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",19790,Delta Air Lines Inc.,7244,3595,4912,5401
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",19393,Southwest Airlines Co.,3268,2015,2413,2589
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",19977,United Air Lines Inc.,1101,296,348,1500
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",19805,American Airlines Inc.,98288,66335,88068,102744
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20304,SkyWest Airlines Inc.,3102,732,1784,868
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20363,Endeavor Air Inc.,2587,1260,807,2838
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20397,PSA Airlines Inc.,93816,67381,77300,56908
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20366,ExpressJet Airlines LLC d/b/a aha!,297,272,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20046,Air Wisconsin Airlines Corp,2,0,0,1
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20378,Mesa Airlines Inc.,2320,1311,1519,1308
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,662,605,681,1342
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20452,Republic Airline,11263,14072,17649,6144
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20398,Envoy Air,4970,2617,2446,3030
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20427,Piedmont Airlines,20112,14184,23192,22715
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20237,Trans States Airlines,1,0,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20409,JetBlue Airways,1620,523,436,659
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20436,Frontier Airlines Inc.,1439,680,1141,1423
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",20416,Spirit Air Lines,776,690,828,1528
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19790,Delta Air Lines Inc.,30627,19903,25600,28962
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19687,Horizon Air,35093,29489,31732,28096
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19393,Southwest Airlines Co.,11195,6287,7681,8454
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19930,Alaska Airlines Inc.,68564,42160,63005,68964
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19977,United Air Lines Inc.,9820,4390,6192,7611
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20422,Sun Country Airlines d/b/a MN Airlines,445,161,310,300
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19805,American Airlines Inc.,7526,4166,5806,5217
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20304,SkyWest Airlines Inc.,8567,18352,22970,20386
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",21167,Compass Airlines,14094,1385,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20452,Republic Airline,9,3,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20409,JetBlue Airways,2120,753,847,928
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20416,Spirit Air Lines,1970,601,628,847
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",20436,Frontier Airlines Inc.,697,526,589,493
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",19690,Hawaiian Airlines Inc.,754,487,745,734
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",21894,"ADVANCED AIR, LLC",486,409,436,621
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",21599,Boutique Air,1271,1385,1219,692
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19790,Delta Air Lines Inc.,8698,6476,9733,9142
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19393,Southwest Airlines Co.,60192,43003,52001,58008
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19977,United Air Lines Inc.,7864,4276,6944,8694
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19930,Alaska Airlines Inc.,2986,2466,3587,4077
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20422,Sun Country Airlines d/b/a MN Airlines,735,491,612,823
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19805,American Airlines Inc.,56838,33047,44052,46894
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20304,SkyWest Airlines Inc.,13318,13545,21482,17589
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20378,Mesa Airlines Inc.,18614,8723,11547,9269
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,422,508,589,580
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19687,Horizon Air,658,1018,780,830
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",21167,Compass Airlines,2444,366,0,0
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20237,Trans States Airlines,1,0,0,0
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20409,JetBlue Airways,1079,573,1263,1145
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20416,Spirit Air Lines,745,649,901,1420
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",20436,Frontier Airlines Inc.,2630,2656,4349,4591
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",19690,Hawaiian Airlines Inc.,364,126,399,367
13204,FL,MCO,"Orlando, FL: Orlando International",20401,Silver Airways,2435,1255,1819,1732
13204,FL,MCO,"Orlando, FL: Orlando International",19790,Delta Air Lines Inc.,18718,10136,17929,18272
13204,FL,MCO,"Orlando, FL: Orlando International",19393,Southwest Airlines Co.,40200,29721,35979,34895
13204,FL,MCO,"Orlando, FL: Orlando International",19977,United Air Lines Inc.,12849,7035,10763,12375
13204,FL,MCO,"Orlando, FL: Orlando International",20422,Sun Country Airlines d/b/a MN Airlines,768,623,907,881
13204,FL,MCO,"Orlando, FL: Orlando International",19805,American Airlines Inc.,17737,11076,14761,16860
13204,FL,MCO,"Orlando, FL: Orlando International",19930,Alaska Airlines Inc.,1714,1181,1538,2156
13204,FL,MCO,"Orlando, FL: Orlando International",20363,Endeavor Air Inc.,58,119,57,3
13204,FL,MCO,"Orlando, FL: Orlando International",20304,SkyWest Airlines Inc.,16,0,1,0
13204,FL,MCO,"Orlando, FL: Orlando International",20500,GoJet Airlines LLC d/b/a United Express,34,0,0,0
13204,FL,MCO,"Orlando, FL: Orlando International",20452,Republic Airline,38,27,353,17
13204,FL,MCO,"Orlando, FL: Orlando International",20398,Envoy Air,3,0,0,0
13204,FL,MCO,"Orlando, FL: Orlando International",20445,CommuteAir LLC dba CommuteAir,2,0,3,0
13204,FL,MCO,"Orlando, FL: Orlando International",20409,JetBlue Airways,19578,9541,13305,16105
13204,FL,MCO,"Orlando, FL: Orlando International",20416,Spirit Air Lines,16964,12448,19952,23444
13204,FL,MCO,"Orlando, FL: Orlando International",20436,Frontier Airlines Inc.,13223,9561,16095,17857
14771,CA,SFO,"San Francisco, CA: San Francisco International",19790,Delta Air Lines Inc.,15223,7515,7910,10310
14771,CA,SFO,"San Francisco, CA: San Francisco International",19393,Southwest Airlines Co.,13887,7583,5931,8091
14771,CA,SFO,"San Francisco, CA: San Francisco International",20422,Sun Country Airlines d/b/a MN Airlines,704,246,374,437
14771,CA,SFO,"San Francisco, CA: San Francisco International",19930,Alaska Airlines Inc.,22442,6634,5838,12233
14771,CA,SFO,"San Francisco, CA: San Francisco International",19977,United Air Lines Inc.,56974,22912,27275,43777
14771,CA,SFO,"San Francisco, CA: San Francisco International",19805,American Airlines Inc.,13319,6764,8130,8858
14771,CA,SFO,"San Francisco, CA: San Francisco International",20304,SkyWest Airlines Inc.,38223,29117,32944,34821
14771,CA,SFO,"San Francisco, CA: San Francisco International",19687,Horizon Air,2621,2131,3309,2034
14771,CA,SFO,"San Francisco, CA: San Francisco International",21167,Compass Airlines,2244,303,0,0
14771,CA,SFO,"San Francisco, CA: San Francisco International",20409,JetBlue Airways,5286,2727,4300,5087
14771,CA,SFO,"San Francisco, CA: San Francisco International",20436,Frontier Airlines Inc.,1426,951,1620,2202
14771,CA,SFO,"San Francisco, CA: San Francisco International",19690,Hawaiian Airlines Inc.,801,530,700,805
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19790,Delta Air Lines Inc.,68541,35824,47435,55433
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20257,Bemidji Airlines,207,211,192,113
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",21253,"Multi-Aero, Inc. d/b/a Air Choice One",1190,982,130,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",21599,Boutique Air,919,495,204,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19393,Southwest Airlines Co.,7793,4152,4653,5274
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20422,Sun Country Airlines d/b/a MN Airlines,8510,5114,8012,9326
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19977,United Air Lines Inc.,3468,1456,2425,4097
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19930,Alaska Airlines Inc.,1141,666,651,852
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19805,American Airlines Inc.,7007,3360,3940,3524
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20304,SkyWest Airlines Inc.,45802,25631,35340,33457
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20363,Endeavor Air Inc.,12285,18198,19760,8452
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20366,ExpressJet Airlines LLC d/b/a aha!,341,112,0,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20046,Air Wisconsin Airlines Corp,1,2,0,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20378,Mesa Airlines Inc.,1382,892,850,647
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20500,GoJet Airlines LLC d/b/a United Express,851,22,1,1
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20398,Envoy Air,447,556,793,702
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",19687,Horizon Air,63,92,204,68
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20452,Republic Airline,5221,2463,1823,1593
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",21167,Compass Airlines,2,0,0,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20237,Trans States Airlines,1,0,0,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20445,CommuteAir LLC dba CommuteAir,1,0,0,0
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20409,JetBlue Airways,1009,371,407,954
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20416,Spirit Air Lines,3821,1745,1715,1449
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",20436,Frontier Airlines Inc.,1585,647,578,514
10721,MA,BOS,"Boston, MA: Logan International",20253,Cape Air,17679,12408,15457,14545
10721,MA,BOS,"Boston, MA: Logan International",20401,Silver Airways,208,170,0,0
10721,MA,BOS,"Boston, MA: Logan International",21599,Boutique Air,938,1008,796,653
10721,MA,BOS,"Boston, MA: Logan International",19790,Delta Air Lines Inc.,18485,9187,13560,20760
10721,MA,BOS,"Boston, MA: Logan International",19393,Southwest Airlines Co.,9900,4628,4427,5241
10721,MA,BOS,"Boston, MA: Logan International",19977,United Air Lines Inc.,13607,5652,7161,10756
10721,MA,BOS,"Boston, MA: Logan International",20422,Sun Country Airlines d/b/a MN Airlines,136,48,175,195
10721,MA,BOS,"Boston, MA: Logan International",19805,American Airlines Inc.,24992,12276,13932,20137
10721,MA,BOS,"Boston, MA: Logan International",19930,Alaska Airlines Inc.,2949,1263,1437,2195
10721,MA,BOS,"Boston, MA: Logan International",20366,ExpressJet Airlines LLC d/b/a aha!,150,1,0,0
10721,MA,BOS,"Boston, MA: Logan International",20304,SkyWest Airlines Inc.,2439,90,125,388
10721,MA,BOS,"Boston, MA: Logan International",20397,PSA Airlines Inc.,19,1,1,4
10721,MA,BOS,"Boston, MA: Logan International",20378,Mesa Airlines Inc.,61,35,22,32
10721,MA,BOS,"Boston, MA: Logan International",20500,GoJet Airlines LLC d/b/a United Express,484,0,6,2
10721,MA,BOS,"Boston, MA: Logan International",20363,Endeavor Air Inc.,5224,1006,1475,2295
10721,MA,BOS,"Boston, MA: Logan International",20452,Republic Airline,10801,8228,14875,22128
10721,MA,BOS,"Boston, MA: Logan International",20398,Envoy Air,197,0,261,1011
10721,MA,BOS,"Boston, MA: Logan International",20427,Piedmont Airlines,1520,467,717,1468
10721,MA,BOS,"Boston, MA: Logan International",20409,JetBlue Airways,53133,24123,27745,42486
10721,MA,BOS,"Boston, MA: Logan International",20416,Spirit Air Lines,4883,2700,2828,3329
10721,MA,BOS,"Boston, MA: Logan International",20436,Frontier Airlines Inc.,600,335,503,649
10721,MA,BOS,"Boston, MA: Logan International",19690,Hawaiian Airlines Inc.,211,65,190,211
12266,TX,IAH,"Houston, TX: George Bush Intercontinental/Houston",21599,Boutique Air,642,536,0,0
