ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",696,Airbus Industrie A330-200,8,52,1181,438
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",698,Airbus Industrie A319,8802,7381,8870,10625
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",699,Airbus Industrie A321/Lr,32815,25525,48252,51859
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",721,Airbus Industrie A321-200n,2,10,54,269
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",722,Airbus Industrie A320-200n,2795,2961,6179,8670
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",723,A200-100 BD-500-1A10,9,138,2,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",838,Boeing B737 Max 800,234,0,997,1655
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",888,Boeing 737-900ER,35921,21707,35667,32251
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",125,Cessna C-402/402A/402B,1161,1271,1796,1875
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",415,Cessna C208B/Grand Caravan,1879,1493,690,399
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",530,Bombardier CRJ550,2310,13719,16677,5503
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",608,Boeing 717-200,6998,2300,1629,2376
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",612,Boeing 737-700/700LR/Max 7,7519,2635,10314,14124
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",614,Boeing 737-800,60231,23513,30897,45217
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",622,Boeing 757-200,835,273,494,944
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",623,Boeing 757-300,5445,2663,3175,3060
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",624,Boeing 767-400/ER,9,3,29,96
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",626,Boeing 767-300/300ER,421,392,505,328
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",627,Boeing 777-200ER/200LR/233LR,1756,1166,1176,1636
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",629,Canadair RJ-200ER /RJ-440,62883,29075,38887,42254
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",631,Canadair RJ-700,41471,15093,18400,12978
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",634,Boeing 737-900,351,109,165,224
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",637,Boeing 777-300/300ER/333ER,21,95,367,299
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",638,Canadair CRJ 900,2062,2089,2368,1180
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,1401,214,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",656,McDonnell Douglas MD-90,1258,58,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",673,Embraer ERJ-175,40481,36990,51274,42836
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",675,Embraer-145,58095,26617,27312,25659
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",676,Embraer-140,1918,749,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",677,Embraer-Emb-170,7464,7566,10462,9760
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",678,Embraer 190,2048,788,542,570
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",694,Airbus Industrie A320-100/200,19902,10196,12863,19147
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",696,Airbus Industrie A330-200,1,6,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",698,Airbus Industrie A319,21077,12256,13818,18965
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",699,Airbus Industrie A321/Lr,17459,10268,14277,9942
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",721,Airbus Industrie A321-200n,50,117,1090,556
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",722,Airbus Industrie A320-200n,2216,1606,2619,1942
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",723,A200-100 BD-500-1A10,5,1641,1431,2853
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",837,Boeing 787-10 Dreamliner,4,22,4,466
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",838,Boeing B737 Max 800,12,0,702,3006
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",839,Boeing B737 Max 900,11,0,2356,4554
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",887,B787-800 Dreamliner,1288,740,1113,556
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",888,Boeing 737-900ER,22439,9623,15896,16720
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",889,B787-900 Dreamliner,312,357,968,636
11292,CO,DEN,"Denver, CO: Denver International",455,Fairchild Metro 23,363,628,624,1027
11292,CO,DEN,"Denver, CO: Denver International",479,Pilatus PC-12,5232,3380,1555,713
11292,CO,DEN,"Denver, CO: Denver International",608,Boeing 717-200,1777,0,0,0
11292,CO,DEN,"Denver, CO: Denver International",612,Boeing 737-700/700LR/Max 7,46797,34912,39381,45399
11292,CO,DEN,"Denver, CO: Denver International",614,Boeing 737-800,44533,36711,49457,57246
11292,CO,DEN,"Denver, CO: Denver International",622,Boeing 757-200,2247,1134,1707,2266
11292,CO,DEN,"Denver, CO: Denver International",623,Boeing 757-300,2869,2076,2568,1904
11292,CO,DEN,"Denver, CO: Denver International",624,Boeing 767-400/ER,10,37,569,76
11292,CO,DEN,"Denver, CO: Denver International",626,Boeing 767-300/300ER,32,89,1176,219
11292,CO,DEN,"Denver, CO: Denver International",627,Boeing 777-200ER/200LR/233LR,1937,1306,1406,2368
11292,CO,DEN,"Denver, CO: Denver International",629,Canadair RJ-200ER /RJ-440,32948,28701,39077,30777
11292,CO,DEN,"Denver, CO: Denver International",631,Canadair RJ-700,12949,7275,7401,7449
11292,CO,DEN,"Denver, CO: Denver International",632,Dornier 328 Jet,937,767,884,769
11292,CO,DEN,"Denver, CO: Denver International",634,Boeing 737-900,408,118,283,335
11292,CO,DEN,"Denver, CO: Denver International",637,Boeing 777-300/300ER/333ER,13,22,20,103
11292,CO,DEN,"Denver, CO: Denver International",638,Canadair CRJ 900,288,297,1,2
11292,CO,DEN,"Denver, CO: Denver International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,3,0,0,0
11292,CO,DEN,"Denver, CO: Denver International",656,McDonnell Douglas MD-90,234,0,0,0
11292,CO,DEN,"Denver, CO: Denver International",673,Embraer ERJ-175,15848,15501,28231,22163
11292,CO,DEN,"Denver, CO: Denver International",675,Embraer-145,24419,6114,7301,8714
11292,CO,DEN,"Denver, CO: Denver International",677,Embraer-Emb-170,2675,969,0,0
11292,CO,DEN,"Denver, CO: Denver International",694,Airbus Industrie A320-100/200,23366,15170,17330,20944
11292,CO,DEN,"Denver, CO: Denver International",698,Airbus Industrie A319,14752,11312,14759,15036
11292,CO,DEN,"Denver, CO: Denver International",699,Airbus Industrie A321/Lr,11291,6184,13802,13773
11292,CO,DEN,"Denver, CO: Denver International",721,Airbus Industrie A321-200n,18,124,232,495
11292,CO,DEN,"Denver, CO: Denver International",722,Airbus Industrie A320-200n,11761,10927,10817,15136
11292,CO,DEN,"Denver, CO: Denver International",723,A200-100 BD-500-1A10,146,895,1325,390
11292,CO,DEN,"Denver, CO: Denver International",837,Boeing 787-10 Dreamliner,12,14,0,1
11292,CO,DEN,"Denver, CO: Denver International",838,Boeing B737 Max 800,725,0,3577,3843
11292,CO,DEN,"Denver, CO: Denver International",839,Boeing B737 Max 900,33,0,6213,5009
11292,CO,DEN,"Denver, CO: Denver International",887,B787-800 Dreamliner,327,174,33,4
11292,CO,DEN,"Denver, CO: Denver International",888,Boeing 737-900ER,29655,14753,17152,19999
11292,CO,DEN,"Denver, CO: Denver International",889,B787-900 Dreamliner,12,32,31,332
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",416,Cessna 208 Caravan,2198,2117,2102,182
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",458,Beechcraft Super King Air,817,334,5,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",479,Pilatus PC-12,1481,1393,798,308
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",608,Boeing 717-200,999,166,7,14
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",612,Boeing 737-700/700LR/Max 7,424,180,453,561
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",614,Boeing 737-800,74404,52660,50074,57273
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",622,Boeing 757-200,4565,1259,7,9
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",626,Boeing 767-300/300ER,273,62,0,1
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",627,Boeing 777-200ER/200LR/233LR,2448,970,2548,674
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",629,Canadair RJ-200ER /RJ-440,1259,615,5,3
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",631,Canadair RJ-700,12010,14406,21224,29865
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",634,Boeing 737-900,227,90,128,203
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",637,Boeing 777-300/300ER/333ER,55,199,668,41
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",638,Canadair CRJ 900,40910,25080,25826,17539
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,14161,2,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",656,McDonnell Douglas MD-90,57,4,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",673,Embraer ERJ-175,33031,33861,42233,30608
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",675,Embraer-145,6273,10611,28054,21137
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",676,Embraer-140,24896,13279,2475,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",677,Embraer-Emb-170,785,310,445,365
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",678,Embraer 190,57,34,350,28
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",694,Airbus Industrie A320-100/200,10163,4214,12427,13949
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",698,Airbus Industrie A319,18621,21791,26840,22201
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",699,Airbus Industrie A321/Lr,42710,25379,45407,56092
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",721,Airbus Industrie A321-200n,323,1976,3294,4606
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",722,Airbus Industrie A320-200n,1336,1567,2509,5039
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",723,A200-100 BD-500-1A10,4097,3288,2423,3654
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",837,Boeing 787-10 Dreamliner,1,0,0,0
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",838,Boeing B737 Max 800,3,0,526,914
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",839,Boeing B737 Max 900,2,0,15,344
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",887,B787-800 Dreamliner,1342,753,742,461
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",888,Boeing 737-900ER,1567,1010,1479,1476
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",889,B787-900 Dreamliner,891,768,1255,1367
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",359,Airbus Industrie A350-900,2,3,179,260
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",416,Cessna 208 Caravan,1019,1243,1214,103
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",479,Pilatus PC-12,982,863,639,459
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",482,De Havilland DHC8-400 Dash-8,17,0,0,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",608,Boeing 717-200,3173,0,0,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",612,Boeing 737-700/700LR/Max 7,31877,13444,7157,12612
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",614,Boeing 737-800,32227,18690,24513,24881
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",622,Boeing 757-200,10855,4705,5886,6271
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",623,Boeing 757-300,5118,2183,4656,3076
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",624,Boeing 767-400/ER,945,33,1408,774
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",626,Boeing 767-300/300ER,1911,1996,1912,2829
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",627,Boeing 777-200ER/200LR/233LR,2203,991,1698,1916
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",629,Canadair RJ-200ER /RJ-440,9584,4169,4319,4170
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",631,Canadair RJ-700,8362,3772,9498,3929
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",634,Boeing 737-900,819,123,226,457
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",637,Boeing 777-300/300ER/333ER,256,244,1539,562
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",638,Canadair CRJ 900,319,330,13,0
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",673,Embraer ERJ-175,42806,22930,36227,34910
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",687,Airbus Industrie A330-300/333,405,92,3,1
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",694,Airbus Industrie A320-100/200,13330,7770,13220,16195
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",696,Airbus Industrie A330-200,1789,920,1325,1558
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",698,Airbus Industrie A319,15945,7103,4105,4518
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",699,Airbus Industrie A321/Lr,38742,19855,25098,26706
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",721,Airbus Industrie A321-200n,2772,3751,8509,11313
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",722,Airbus Industrie A320-200n,1075,1783,3467,4872
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",837,Boeing 787-10 Dreamliner,633,486,486,1127
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",838,Boeing B737 Max 800,417,0,1064,1206
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",839,Boeing B737 Max 900,446,0,2830,4211
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",887,B787-800 Dreamliner,79,444,133,574
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",888,Boeing 737-900ER,20520,9937,11635,16648
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",889,B787-900 Dreamliner,705,587,996,777
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",359,Airbus Industrie A350-900,1,2,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",458,Beechcraft Super King Air,2,0,49,94
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",608,Boeing 717-200,703,0,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",612,Boeing 737-700/700LR/Max 7,50496,30142,30127,44574
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",614,Boeing 737-800,30587,23698,30769,35177
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",622,Boeing 757-200,1647,1145,1667,998
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",623,Boeing 757-300,797,455,393,918
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",624,Boeing 767-400/ER,4,144,889,303
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",626,Boeing 767-300/300ER,376,274,951,509
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",627,Boeing 777-200ER/200LR/233LR,40,107,181,94
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",629,Canadair RJ-200ER /RJ-440,5,7,4,2
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",631,Canadair RJ-700,129,4,19,32
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",634,Boeing 737-900,888,343,283,897
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",637,Boeing 777-300/300ER/333ER,2,2,4,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",638,Canadair CRJ 900,362,103,0,1
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,2,0,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",656,McDonnell Douglas MD-90,10,0,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",673,Embraer ERJ-175,5981,4850,4537,2574
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",674,Embraer-135,722,173,0,0
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",687,Airbus Industrie A330-300/333,3,35,53,100
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",694,Airbus Industrie A320-100/200,21147,11444,14265,21558
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",696,Airbus Industrie A330-200,964,343,911,1091
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",698,Airbus Industrie A319,16072,8805,9335,6036
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",699,Airbus Industrie A321/Lr,19534,9887,14765,15480
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",721,Airbus Industrie A321-200n,122,289,930,2845
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",722,Airbus Industrie A320-200n,6905,7409,15996,23857
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",723,A200-100 BD-500-1A10,8,12,3,177
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",838,Boeing B737 Max 800,660,0,3013,4399
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",839,Boeing B737 Max 900,19,0,1508,1595
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",887,B787-800 Dreamliner,104,79,241,22
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",888,Boeing 737-900ER,10931,6380,9863,10090
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",889,B787-900 Dreamliner,10,35,18,3
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",530,Bombardier CRJ550,1,152,868,216
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",608,Boeing 717-200,6825,3343,3949,4870
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",612,Boeing 737-700/700LR/Max 7,2990,1775,1653,1052
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",614,Boeing 737-800,14794,11067,27688,30451
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",622,Boeing 757-200,670,274,0,3
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",626,Boeing 767-300/300ER,13,5,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",629,Canadair RJ-200ER /RJ-440,6473,623,3,1
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",631,Canadair RJ-700,33305,22930,27481,15031
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",634,Boeing 737-900,1,0,0,60
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",638,Canadair CRJ 900,59209,45790,51220,44722
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,20,2,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",656,McDonnell Douglas MD-90,12,0,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",669,Bombardier Challenger 604/605,5,14,4,8
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",673,Embraer ERJ-175,13267,14845,22309,10675
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",674,Embraer-135,656,591,629,1185
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",675,Embraer-145,20222,14251,23242,22864
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",676,Embraer-140,4947,2601,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",677,Embraer-Emb-170,1262,792,490,668
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",678,Embraer 190,1605,482,428,449
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",685,Cessna 510 Mustang/560XL Citation Excel,1,0,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",687,Airbus Industrie A330-300/333,183,141,2,1
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",694,Airbus Industrie A320-100/200,20611,14502,12331,12933
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",696,Airbus Industrie A330-200,371,285,0,0
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",698,Airbus Industrie A319,27532,14451,16934,20693
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",699,Airbus Industrie A321/Lr,37165,27152,32808,42663
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",721,Airbus Industrie A321-200n,42,116,96,123
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",722,Airbus Industrie A320-200n,770,328,1189,1592
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",723,A200-100 BD-500-1A10,1,0,4,2
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",838,Boeing B737 Max 800,25,0,267,372
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",888,Boeing 737-900ER,106,44,47,355
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",339,Airbus Industrie A330-900,6,4,333,210
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",359,Airbus Industrie A350-900,4,20,3,91
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",482,De Havilland DHC8-400 Dash-8,25112,19501,23494,17517
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",608,Boeing 717-200,2291,0,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",612,Boeing 737-700/700LR/Max 7,9747,5456,6930,8996
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",614,Boeing 737-800,32073,17929,26930,29694
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",622,Boeing 757-200,4516,3056,3807,2885
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",623,Boeing 757-300,1810,348,641,861
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",624,Boeing 767-400/ER,11,90,279,14
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",626,Boeing 767-300/300ER,151,131,449,248
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",627,Boeing 777-200ER/200LR/233LR,3,0,36,5
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",629,Canadair RJ-200ER /RJ-440,11,21,0,3
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",631,Canadair RJ-700,313,87,645,80
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",634,Boeing 737-900,6773,2219,4462,4810
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",638,Canadair CRJ 900,529,663,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",656,McDonnell Douglas MD-90,1,0,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",673,Embraer ERJ-175,31796,28957,30563,30882
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",677,Embraer-Emb-170,2,0,0,0
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",687,Airbus Industrie A330-300/333,5,37,113,124
